iter	RMSE
0	0.9727367511
1	0.959248033
2	0.9458686403
3	0.9334383864
4	0.9204600636
5	0.9074575925
6	0.8955352184
7	0.882751488
8	0.87236259
9	0.8618426701
10	0.8516636187
11	0.8424073198
12	0.8329815133
13	0.8240066004
14	0.8144710116
15	0.8062751245
16	0.7987594657
17	0.7913903893
18	0.7841749966
19	0.7778099134
20	0.7716490437
21	0.7657467831
22	0.759335368
23	0.753199398
24	0.7476028781
25	0.7418657843
26	0.7358136077
27	0.7309100358
28	0.726175886
29	0.7208922571
30	0.7164072751
31	0.7121655139
32	0.7080828534
33	0.7042919589
34	0.700164272
35	0.6962710685
36	0.6925478042
37	0.6895063426
38	0.6866205605
39	0.6837398387
40	0.6805604043
41	0.6779138373
42	0.6756814637
43	0.6735029946
44	0.6712372732
45	0.6688300308
46	0.666502506
47	0.6645388725
48	0.6625305023
49	0.6605223849
50	0.6586068428
51	0.6567632667
52	0.6549041931
53	0.6534107008
54	0.6520601577
55	0.6505206178
56	0.6488871275
57	0.6476154688
58	0.6462937713
59	0.6450959695
60	0.6439109301
61	0.6427321558
62	0.6416856148
63	0.6406064126
64	0.6393622931
65	0.6384018418
66	0.6374533265
67	0.6365110991
68	0.6355897595
69	0.6346866789
70	0.6338756827
71	0.6331776607
72	0.6325273824
73	0.6319060808
74	0.6312371474
75	0.6305202846
76	0.6298256811
77	0.6292091123
78	0.628558198
79	0.628044257
80	0.6275134106
81	0.6269933102
82	0.6264703952
83	0.6259025869
84	0.6254926743
85	0.6250928848
86	0.6246524492
87	0.6242413474
88	0.6237754663
89	0.6234405675
90	0.6229127458
91	0.622540195
92	0.6221265106
93	0.6219003314
94	0.6215661526
95	0.6212688857
96	0.621035848
97	0.6207218772
98	0.6204427161
99	0.6201994172
100	0.6199885433
101	0.6195688211
102	0.6193382546
103	0.6190795703
104	0.6187981489
105	0.6185761618
106	0.6183290295
107	0.6180198076
108	0.6177892587
109	0.6175194821
110	0.6173438994
111	0.6172014442
112	0.6170536113
113	0.6168813744
114	0.6165934125
115	0.6164432086
116	0.6162962891
117	0.616127948
118	0.6159821795
119	0.6157532137
120	0.615649332
121	0.6154986398
122	0.6153466196
123	0.6152105855
124	0.615120428
125	0.6150078046
126	0.6149220575
127	0.6147958566
128	0.6146762126
129	0.6145752894
130	0.6144431048
