iter	Passed	Remaining
0	5	5650
1	8	4133
2	12	4259
3	15	3858
4	18	3617
5	21	3502
6	23	3348
7	26	3281
8	28	3185
9	32	3176
10	40	3671
11	47	3912
12	52	3965
13	54	3828
14	56	3709
15	58	3600
16	60	3521
17	62	3422
18	65	3373
19	69	3428
20	72	3381
21	75	3339
22	77	3289
23	79	3224
24	91	3558
25	93	3513
26	96	3461
27	98	3419
28	102	3438
29	105	3404
30	108	3383
31	110	3351
32	113	3335
33	117	3338
34	120	3320
35	122	3290
36	127	3325
37	130	3307
38	134	3317
39	138	3316
40	142	3329
41	144	3293
42	147	3272
43	151	3284
44	156	3312
45	161	3359
46	167	3396
47	170	3378
48	179	3482
49	188	3572
50	189	3531
51	191	3489
52	195	3499
53	198	3472
54	200	3442
55	212	3587
56	215	3558
57	217	3533
58	219	3502
59	221	3475
60	230	3548
61	232	3514
62	233	3479
63	235	3447
64	237	3420
65	239	3389
66	242	3372
67	245	3357
68	248	3346
69	250	3329
70	253	3313
71	254	3285
72	256	3263
73	258	3237
74	269	3325
75	271	3300
76	273	3272
77	274	3246
78	280	3269
79	282	3247
80	284	3223
81	285	3199
82	287	3175
83	289	3161
84	291	3139
85	293	3117
86	295	3099
87	298	3095
88	302	3091
89	303	3070
90	305	3049
91	307	3030
92	309	3017
93	311	3000
94	315	3010
95	317	2992
96	319	2973
97	320	2954
98	324	2949
99	326	2938
100	332	2956
101	334	2948
102	337	2935
103	338	2918
104	340	2901
105	342	2885
106	343	2869
107	345	2856
108	349	2857
109	351	2843
110	353	2832
111	355	2817
112	358	2813
113	360	2799
114	361	2785
115	363	2771
116	367	2771
117	369	2759
118	370	2745
119	372	2732
120	374	2721
121	378	2720
122	379	2708
123	383	2709
124	385	2697
125	387	2685
126	388	2672
127	390	2660
128	393	2654
129	394	2643
130	398	2644
131	401	2641
132	404	2634
133	406	2625
134	407	2613
135	408	2596
136	410	2585
137	412	2577
138	414	2565
139	416	2559
140	418	2551
141	421	2549
142	425	2551
143	427	2541
144	429	2531
145	431	2522
146	436	2531
147	437	2520
148	439	2510
149	441	2499
150	442	2489
151	444	2480
152	448	2480
153	451	2482
154	454	2476
155	455	2466
156	457	2458
157	459	2448
158	461	2439
159	462	2429
160	464	2421
161	467	2420
162	470	2415
163	470	2400
164	472	2392
165	474	2382
166	476	2374
167	477	2366
168	479	2357
169	481	2349
170	482	2340
171	487	2348
172	489	2340
173	491	2332
174	492	2323
175	494	2315
176	496	2307
177	498	2300
178	500	2293
179	502	2290
180	504	2284
181	506	2276
182	508	2271
183	510	2263
184	512	2256
185	513	2248
186	515	2241
187	517	2235
188	521	2235
189	522	2228
190	524	2221
191	526	2213
192	527	2207
193	528	2197
194	530	2190
195	532	2184
196	534	2178
197	536	2171
198	537	2164
199	539	2157
200	541	2150
201	542	2144
202	544	2137
203	546	2131
204	548	2127
205	550	2122
206	552	2118
207	555	2113
208	557	2109
209	559	2104
210	561	2099
211	563	2093
212	564	2086
213	566	2080
214	568	2074
215	569	2068
216	571	2062
217	573	2056
218	575	2050
219	576	2044
220	578	2038
221	580	2032
222	581	2026
223	583	2021
224	585	2015
225	586	2009
226	588	2004
227	590	1998
228	591	1993
229	593	1987
230	595	1981
231	596	1975
232	598	1970
233	600	1964
234	601	1959
235	603	1953
236	605	1948
237	606	1942
238	608	1937
239	610	1932
240	611	1926
241	613	1921
242	615	1916
243	617	1914
244	619	1909
245	621	1903
246	622	1898
247	624	1893
248	626	1888
249	627	1883
250	629	1878
251	631	1873
252	632	1868
253	634	1863
254	636	1859
255	638	1854
256	639	1849
257	641	1844
258	643	1839
259	643	1831
260	645	1826
261	646	1821
262	648	1817
263	650	1812
264	651	1807
265	653	1802
266	654	1797
267	656	1793
268	658	1788
269	660	1786
270	662	1782
271	664	1777
272	665	1773
273	667	1769
274	669	1764
275	671	1760
276	672	1755
277	674	1751
278	675	1746
279	677	1742
280	679	1738
281	681	1734
282	682	1730
283	684	1725
284	686	1721
285	688	1717
286	689	1713
287	691	1709
288	693	1705
289	694	1700
290	696	1696
291	698	1692
292	701	1692
293	703	1688
294	704	1684
295	706	1680
296	708	1676
297	710	1672
298	711	1668
299	715	1668
300	716	1664
301	723	1671
302	724	1667
303	726	1663
304	728	1659
305	729	1655
306	731	1651
307	733	1647
308	734	1643
309	736	1639
310	738	1635
311	739	1630
312	741	1627
313	743	1623
314	744	1619
315	746	1615
316	748	1611
317	749	1607
318	751	1604
319	753	1601
320	755	1597
321	756	1593
322	758	1590
323	760	1586
324	762	1582
325	763	1579
326	765	1575
327	767	1571
328	768	1567
329	770	1564
330	772	1560
331	773	1556
332	775	1553
333	777	1549
334	778	1546
335	780	1542
336	782	1538
337	783	1535
338	785	1531
339	787	1528
340	788	1524
341	790	1520
342	792	1517
343	793	1513
344	795	1510
345	797	1506
346	799	1503
347	800	1500
348	802	1496
349	803	1492
350	805	1488
351	806	1485
352	808	1481
353	812	1481
354	813	1478
355	815	1475
356	817	1471
357	818	1468
358	820	1464
359	822	1461
360	823	1458
361	825	1454
362	827	1451
363	829	1448
364	830	1445
365	832	1441
366	833	1438
367	835	1434
368	837	1431
369	838	1428
370	840	1424
371	842	1421
372	843	1418
373	845	1414
374	847	1411
375	848	1408
376	850	1405
377	852	1402
378	854	1400
379	856	1397
380	858	1394
381	860	1391
382	861	1388
383	863	1385
384	865	1382
385	867	1379
386	868	1376
387	870	1373
388	872	1370
389	873	1366
390	875	1363
391	877	1360
392	878	1357
393	880	1354
394	882	1351
395	884	1348
396	885	1345
397	887	1342
398	888	1339
399	890	1335
400	892	1332
401	893	1329
402	895	1326
403	899	1326
404	902	1325
405	904	1323
406	907	1321
407	917	1330
408	920	1329
409	923	1329
410	925	1326
411	928	1324
412	930	1322
413	932	1319
414	934	1317
415	936	1314
416	938	1312
417	940	1309
418	942	1307
419	948	1310
420	951	1308
421	954	1307
422	956	1305
423	959	1303
424	962	1301
425	964	1299
426	967	1297
427	969	1295
428	972	1294
429	974	1292
430	977	1290
431	979	1288
432	982	1286
433	984	1284
434	987	1282
435	989	1280
436	992	1278
437	994	1275
438	995	1272
439	997	1269
440	999	1266
441	1000	1263
442	1002	1260
443	1004	1257
444	1006	1254
445	1008	1253
446	1010	1250
447	1012	1247
448	1013	1244
449	1015	1241
450	1017	1238
451	1019	1235
452	1020	1232
453	1022	1229
454	1024	1226
455	1025	1223
456	1027	1220
457	1029	1217
458	1030	1215
459	1032	1212
460	1034	1209
461	1035	1206
462	1037	1203
463	1039	1200
464	1040	1197
465	1042	1194
466	1043	1191
467	1045	1188
468	1047	1185
469	1049	1182
470	1050	1180
471	1052	1177
472	1054	1174
473	1055	1171
474	1057	1168
475	1059	1166
476	1060	1163
477	1062	1160
478	1064	1157
479	1065	1154
480	1067	1151
481	1069	1149
482	1070	1146
483	1072	1143
484	1074	1140
485	1075	1137
486	1077	1134
487	1079	1132
488	1080	1129
489	1082	1126
490	1084	1123
491	1085	1120
492	1087	1118
493	1088	1115
494	1090	1112
495	1092	1109
496	1093	1107
497	1095	1104
498	1097	1101
499	1098	1098
500	1100	1096
501	1102	1093
502	1104	1090
503	1106	1088
504	1108	1086
505	1109	1083
506	1111	1080
507	1113	1077
508	1114	1075
509	1116	1072
510	1117	1069
511	1119	1067
512	1121	1064
513	1123	1061
514	1124	1059
515	1126	1056
516	1127	1053
517	1129	1051
518	1131	1048
519	1133	1045
520	1134	1043
521	1136	1040
522	1137	1037
523	1139	1035
524	1141	1032
525	1143	1030
526	1144	1027
527	1146	1024
528	1148	1022
529	1149	1019
530	1152	1017
531	1154	1015
532	1158	1014
533	1159	1012
534	1162	1010
535	1164	1008
536	1166	1005
537	1168	1003
538	1170	1000
539	1172	998
540	1173	995
541	1175	993
542	1179	992
543	1180	989
544	1182	987
545	1184	984
546	1185	982
547	1187	979
548	1189	977
549	1190	974
550	1192	971
551	1194	969
552	1196	966
553	1197	964
554	1199	961
555	1202	960
556	1205	958
557	1206	955
558	1208	953
559	1210	950
560	1211	948
561	1213	945
562	1214	943
563	1216	940
564	1218	937
565	1220	935
566	1221	933
567	1223	930
568	1225	928
569	1227	925
570	1229	923
571	1231	921
572	1233	919
573	1235	916
574	1236	914
575	1238	911
576	1240	909
577	1241	906
578	1243	904
579	1245	901
580	1246	899
581	1248	896
582	1250	894
583	1251	891
584	1253	889
585	1255	886
586	1256	884
587	1258	881
588	1259	879
589	1261	876
590	1263	874
591	1265	871
592	1266	869
593	1268	867
594	1270	864
595	1271	862
596	1273	859
597	1275	857
598	1276	854
599	1278	852
600	1280	849
601	1281	847
602	1283	844
603	1284	842
604	1286	840
605	1288	837
606	1290	835
607	1291	832
608	1293	830
609	1295	828
610	1296	825
611	1299	823
612	1301	821
613	1303	819
614	1305	817
615	1306	814
616	1308	812
617	1310	809
618	1311	807
619	1313	804
620	1315	802
621	1316	800
622	1318	797
623	1320	795
624	1321	793
625	1323	790
626	1325	788
627	1327	786
628	1328	783
629	1330	781
630	1332	778
631	1333	776
632	1335	774
633	1336	771
634	1338	769
635	1340	767
636	1341	764
637	1343	762
638	1345	759
639	1346	757
640	1348	755
641	1350	752
642	1351	750
643	1353	748
644	1355	745
645	1356	743
646	1358	741
647	1360	738
648	1361	736
649	1363	734
650	1364	731
651	1366	729
652	1368	726
653	1369	724
654	1371	722
655	1372	719
656	1374	717
657	1376	715
658	1378	713
659	1380	710
660	1381	708
661	1383	706
662	1384	703
663	1386	701
664	1388	699
665	1389	697
666	1391	694
667	1393	692
668	1395	690
669	1397	688
670	1399	686
671	1401	683
672	1402	681
673	1404	679
674	1406	677
675	1407	674
676	1409	672
677	1411	670
678	1413	668
679	1414	665
680	1416	663
681	1418	661
682	1419	658
683	1421	656
684	1423	654
685	1424	652
686	1426	649
687	1428	647
688	1430	645
689	1431	643
690	1433	641
691	1435	638
692	1436	636
693	1438	634
694	1440	632
695	1441	629
696	1443	627
697	1445	625
698	1446	623
699	1448	620
700	1450	618
701	1452	616
702	1453	614
703	1455	611
704	1457	609
705	1458	607
706	1460	605
707	1462	603
708	1463	600
709	1465	598
710	1467	596
711	1468	594
712	1470	591
713	1472	589
714	1473	587
715	1475	585
716	1476	582
717	1478	580
718	1480	578
719	1481	576
720	1482	573
721	1484	571
722	1486	569
723	1487	567
724	1489	564
725	1491	562
726	1493	560
727	1495	558
728	1497	556
729	1498	554
730	1500	552
731	1502	549
732	1504	548
733	1506	545
734	1507	543
735	1509	541
736	1511	539
737	1512	537
738	1514	534
739	1516	532
740	1517	530
741	1519	528
742	1521	526
743	1522	523
744	1524	521
745	1526	519
746	1527	517
747	1529	515
748	1531	513
749	1532	510
750	1534	508
751	1536	506
752	1537	504
753	1539	502
754	1541	500
755	1542	497
756	1544	495
757	1546	493
758	1547	491
759	1549	489
760	1551	487
761	1552	484
762	1554	482
763	1555	480
764	1557	478
765	1559	476
766	1561	474
767	1562	472
768	1564	469
769	1566	467
770	1567	465
771	1569	463
772	1571	461
773	1572	459
774	1574	457
775	1576	455
776	1577	452
777	1579	450
778	1581	448
779	1582	446
780	1584	444
781	1586	442
782	1587	440
783	1589	437
784	1591	435
785	1593	433
786	1595	431
787	1597	429
788	1598	427
789	1600	425
790	1601	423
791	1603	421
792	1605	419
793	1606	416
794	1608	414
795	1610	412
796	1611	410
797	1613	408
798	1615	406
799	1616	404
800	1618	402
801	1620	400
802	1622	397
803	1623	395
804	1625	393
805	1627	391
