Model_Infolen,Additional_Descriptionlen,char_count,word_count,word_density,noun_count,verb_count,adj_count,adv_count
30,52,83,12,6.384615384615385,5,0,3,1
53,26,80,11,6.666666666666667,5,0,2,0
40,1252,1293,109,11.754545454545454,43,10,17,1
31,172,204,29,6.8,9,2,3,2
50,88,139,23,5.791666666666667,10,3,2,0
39,279,319,45,6.934782608695652,11,6,8,2
64,89,154,23,6.416666666666667,8,4,5,0
43,92,136,20,6.476190476190476,7,1,5,0
26,281,308,38,7.897435897435898,12,2,9,2
15,101,117,14,7.8,2,0,4,1
25,390,416,50,8.156862745098039,18,4,5,1
59,1390,1450,182,7.923497267759563,82,16,25,3
34,112,147,20,7.0,8,2,3,0
29,327,357,41,8.5,16,2,6,2
41,341,383,51,7.365384615384615,21,7,8,1
26,55,82,15,5.125,6,0,3,1
46,112,159,24,6.36,11,4,6,1
44,117,162,23,6.75,8,2,3,3
35,109,145,19,7.25,7,2,6,1
38,351,390,47,8.125,12,4,6,1
39,12,52,8,5.777777777777778,4,1,1,1
31,24,56,10,5.090909090909091,4,0,2,0
15,12,28,4,5.6,2,0,0,0
32,167,200,29,6.666666666666667,16,2,2,0
24,71,96,17,5.333333333333333,5,2,1,1
21,94,116,21,5.2727272727272725,10,1,3,2
46,257,304,48,6.204081632653061,22,6,11,2
31,241,273,32,8.272727272727273,8,2,4,0
35,28,64,11,5.333333333333333,4,1,1,2
24,88,113,18,5.947368421052632,6,3,3,1
28,88,117,16,6.882352941176471,3,1,1,1
31,81,113,17,6.277777777777778,5,0,4,1
79,119,199,30,6.419354838709677,10,0,6,6
27,20,48,9,4.8,5,0,0,0
63,124,188,26,6.962962962962963,11,2,10,0
23,15,39,7,4.875,3,0,1,0
37,98,136,23,5.666666666666667,10,0,5,0
20,24,45,9,4.5,5,0,0,0
38,187,226,31,7.0625,8,4,7,1
38,123,162,26,6.0,11,4,5,1
33,187,221,32,6.696969696969697,8,1,7,1
49,118,168,23,7.0,10,1,3,2
59,75,135,21,6.136363636363637,6,2,6,1
14,76,91,14,6.066666666666666,6,2,1,1
12,134,147,21,6.681818181818182,9,1,2,1
69,11,81,17,4.5,15,0,1,0
11,129,141,23,5.875,10,2,2,0
26,371,398,55,7.107142857142857,25,5,8,2
14,16,31,5,5.166666666666667,2,0,1,1
20,138,159,25,6.115384615384615,13,2,3,2
13,9,23,5,3.8333333333333335,2,0,1,1
13,26,40,7,5.0,2,0,1,1
47,24,72,12,5.538461538461538,3,0,2,1
18,111,130,17,7.222222222222222,9,0,4,0
30,54,85,14,5.666666666666667,8,1,3,1
24,12,37,6,5.285714285714286,4,0,1,0
9,92,102,15,6.375,5,3,2,0
30,66,97,15,6.0625,6,2,3,1
